name,hex,link
Verde,#008000,https://es.wikipedia.org/wiki/Verde
Verde Hooker,#44944a,https://es.wikipedia.org/wiki/Verde_Hooker
Verde Veronese o Veronés,#009d7a,https://es.wikipedia.org/wiki/Verde_Veronese
Verde agua,#87e79e,https://es.wikipedia.org/wiki/Verde#Otros_verdes_azulados
Verde amarillo,#c6ce00,https://es.wikipedia.org/wiki/Verde_amarillo
Verde azulado,#009a79,https://es.wikipedia.org/wiki/Azul_verde#Comparación_con_colores_próximos
Verde bosque,#228b22,https://es.wikipedia.org/wiki/Verde_bosque
Verde botella,#1b4d3e,https://es.wikipedia.org/wiki/Verde#Otros_verdes_azulados
Verde británico de carreras,#004225,https://es.wikipedia.org/wiki/British_racing_green
Verde ceniza,#5f7f7a,https://es.wikipedia.org/wiki/Verde_ceniza
Verde cian,#00ff99,https://es.wikipedia.org/wiki/Verde_cian
Verde claro,#98ff98,https://es.wikipedia.org/wiki/Verde#Otros
Verde de París o de Schweinfurt,#009966,https://es.wikipedia.org/wiki/Verde_de_Par%C3%ADs
Verde esmeralda,#019a76,https://es.wikipedia.org/wiki/Verde_esmeralda
Verde ftalo,#0f4f41,https://es.wikipedia.org/wiki/Ftalocianina
Verde limón,#c0fe01,https://es.wikipedia.org/wiki/Lima_(color)
Verde loro,#52b830,https://es.wikipedia.org/wiki/Verde#Otros
Verde manzana,#8db600,https://es.wikipedia.org/wiki/Verde_amarillo#Otros_ejemplos_verde-amarillos
Verde mar,#2e8b57,https://es.wikipedia.org/wiki/Verde#Verdes_azulados
Verde menta,#9bfad0,https://es.wikipedia.org/wiki/Verde_menta
Verde militar,#86895d,https://es.wikipedia.org/wiki/Verde_oliva
Verde oliva,#9b933b,https://es.wikipedia.org/wiki/Verde_oliva#Ejemplos_y_colores_relacionados
Verde oscuro,#006400,https://es.wikipedia.org/wiki/Verde#Otros
Verde petróleo,#173f35,https://es.wikipedia.org/wiki/Verde#Otros_verdes_azulados
Verde primavera,#00ff7f,https://es.wikipedia.org/wiki/Verde_primavera
Verde turquesa,#49b675,https://es.wikipedia.org/wiki/Turquesa_(color)#Ejemplos_de_coloraciones_turquesas
Verdete, verdín o verdigrís,#6ec2af,https://es.wikipedia.org/wiki/Cardenillo
Vino o vinotinto,#57080d,https://es.wikipedia.org/wiki/Vino_(color)
Violeta,#78288c,https://es.wikipedia.org/wiki/Violeta_(color)
